Name                          Max Probability
14v5 1 1 1 1 1 2 2                 0.0155742
14v5 1 1 1 1 1 1 1 1 1             0.0212421
14v5 1 1 1 1 1 1 3                 0.00988056
14v5 1 1 1 1 2 1 2                 0.00873297
14v5 1 1 1 1 3 1 1                 0.0121836
14v5 1 1 1 1 5                     0.00505376
14v5 1 1 2 3 2                     0.00746641
14v5 1 1 2 2 3                     0.00669733
14v5 1 1 2 1 1 1 2                 0.00864334
14v5 1 1 2 1 2 1 1                 0.00520746
14v5 1 1 2 1 4                     0.00730889
14v5 1 1 3 2 2                     0.00997115
14v5 1 1 3 1 3                     0.00529801
14v5 1 1 4 1 2                     0.00476156
14v5 1 1 5 1 1                     0.00506965
14v5 2 5 2                         0.0100962
14v5 2 4 3                         0.0296455
14v5 2 3 1 1 2                     0.00470587
14v5 2 3 4                         0.0287749
14v5 2 2 1 2 2                     0.00613521
14v5 2 2 1 1 3                     0.00440504
14v5 2 2 2 1 2                     0.0147505
14v5 2 2 5                         0.0207722
14v5 2 1 1 2 3                     0.0100848
14v5 2 1 1 1 1 1 2                 0.0106944
14v5 2 1 1 1 4                     0.00864334
14v5 2 1 2 1 3                     0.00544925
14v5 2 1 3 1 2                     0.0020772
14v5 3 3 3                         0.0147314
14v5 3 2 4                         0.0289303
14v5 3 1 1 1 3                     0.00546908
14v5 4 1 4                         0.00625086
14v4 1 4 1 3 1                     0.00224968
14v4 1 4 1 2 2                     0.00415325
14v4 1 4 1 1 1 1 1                 0.00982637
14v4 1 4 1 1 3                     0.0091039
14v4 1 4 2 1 2                     0.00249533
14v4 1 3 1 3 2                     0.00410359
14v4 1 3 1 2 1 1 1                 0.00529801
14v4 1 3 1 2 3                     0.00410744
14v4 1 3 1 1 1 2 1                 0.00511124
14v4 1 3 1 1 1 1 2                 0.00425603
14v4 1 3 1 1 2 1 1                 0.0073045
14v4 1 3 1 1 4                     0.0073045
14v4 1 3 2 3 1                     0.00250785
14v4 1 3 2 2 2                     0.00507466
14v4 1 3 2 1 1 1 1                 0.00415996
14v4 1 3 2 1 3                     0.00410746
14v4 1 3 3 2 1                     0.0041077
14v4 1 3 3 1 2                     0.00410746
14v4 1 3 4 1 1                     0.00749104
14v4 1 2 1 4 2                     0.00208078
14v4 1 2 1 3 1 1 1                 0.00671598
14v4 1 2 1 3 3                     0.0057164
14v4 1 2 1 2 1 2 1                 0.0050548
14v4 1 2 1 2 1 1 2                 0.00406814
14v4 1 2 1 2 2 1 1                 0.00563037
14v4 1 2 1 2 4                     0.00563247
14v4 1 2 1 1 1 2 2                 0.00440504
14v4 1 2 1 1 1 1 1 1 1             0.0283241
14v4 1 2 1 1 1 1 3                 0.00711434
14v4 1 2 1 1 2 2 1                 0.00406508
14v4 1 2 1 1 2 1 2                 0.00425986
14v4 1 2 1 1 3 1 1                 0.0091039
14v4 1 2 2 3 2                     0.00533052
14v4 1 2 2 2 1 1 1                 0.00997115
14v4 1 2 2 2 3                     0.00527766
14v4 1 2 2 1 1 1 2                 0.00470587
14v4 1 2 2 1 2 1 1                 0.00666682
14v4 1 2 2 1 4                     0.00207992
14v4 1 2 3 2 2                     0.00538201
14v4 1 2 3 1 1 1 1                 0.00422459
14v4 1 2 3 1 3                     0.00410747
14v4 1 2 4 2 1                     0.00228117
14v4 1 2 4 1 2                     0.0020803
14v4 1 1 1 4 1 1 1                 0.00506965
14v4 1 1 1 4 3                     0.00520746
14v4 1 1 1 3 1 1 2                 0.00594105
14v4 1 1 1 3 2 1 1                 0.00561783
14v4 1 1 1 3 4                     0.00841772
14v4 1 1 1 2 1 2 2                 0.00669733
14v4 1 1 1 2 1 1 1 1 1             0.025694
14v4 1 1 1 2 1 1 3                 0.00730889
14v4 1 1 1 2 2 1 2                 0.00746641
14v4 1 1 1 2 3 1 1                 0.00476156
14v4 1 1 1 1 1 3 2                 0.00403662
14v4 1 1 1 1 1 2 3                 0.00526643
14v4 1 1 1 1 1 1 1 1 2             0.0218214
14v4 1 1 1 1 1 1 2 1 1             0.0284685
